Name,Type événement,Date,Date de fin,Campus,Nb inscrits,Genre (from Inscription),Nb présents,Genre (from Présence),🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Dijon_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,DIJ,7,"homme,homme,homme,homme,homme,homme,homme",3,"homme,homme,homme",42.86%,0%,0
JPO_Dijon_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,DIJ,3,"homme,homme,homme",1,homme,33.33%,0%,0
JPO_Dijon_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,DIJ,7,"homme,femme,homme,homme,homme,homme,homme",4,"homme,femme,homme",57.14%,0%,0
JPO_Dijon_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,DIJ,16,"homme,homme,homme,femme,homme,femme,femme,homme,homme,homme,homme,femme,homme,homme",4,"homme,homme,homme",25%,0%,0
Vis-ma-vie_Dijon_25/09/2025,Vis-ma-vie,25/9/2025 10:00,25/9/2025 16:00,DIJ,2,"femme,femme",0,,0%,0%,0
Vis-ma-vie_Dijon_11/09/2025,Vis-ma-vie,11/9/2025 10:00,11/9/2025 16:00,DIJ,2,"homme,homme",0,,0%,0%,0
Vis-ma-vie_Dijon_28/08/2025,Vis-ma-vie,28/8/2025 10:00,28/8/2025 16:00,DIJ,0,,0,,0%,0%,0
Vis-ma-vie_Dijon_21/08/2025,Vis-ma-vie,21/8/2025 10:00,21/8/2025 16:00,DIJ,0,,0,,0%,0%,0
Vis-ma-vie_Dijon_14/08/2025,Vis-ma-vie,14/8/2025 10:00,14/8/2025 16:00,DIJ,0,,0,,0%,0%,0
Vis-ma-vie_Dijon_07/08/2025,Vis-ma-vie,7/8/2025 10:00,7/8/2025 16:00,DIJ,0,,0,,0%,0%,0
Vis-ma-vie_Dijon_31/07/2025,Vis-ma-vie,31/7/2025 10:00,31/7/2025 16:00,DIJ,0,,0,,0%,0%,0
Vis-ma-vie_Dijon_24/07/2025,Vis-ma-vie,24/7/2025 10:00,24/7/2025 16:00,DIJ,0,,0,,0%,0%,0
JPO_Dijon_05/07/2025,JPO,5/7/2025 13:30,5/7/2025 17:00,DIJ,14,"homme,homme,femme,homme,femme,non spécifié,homme,femme,femme,homme,homme,homme,homme,homme",4,"homme,homme,femme,homme",28.57%,0%,0
JPO_Dijon_24/05/2025,JPO,24/5/2025 13:30,24/5/2025 17:00,DIJ,5,"homme,homme,homme,homme,homme",3,"homme,homme,homme",60%,0%,0
JPO_Dijon_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,DIJ,6,"femme,homme,homme,homme,homme,homme",4,"femme,homme,homme,homme",66.67%,0%,0
JPO_Dijon_26/04/2025,JPO,26/4/2025 13:30,26/4/2025 17:00,DIJ,18,"homme,homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme",8,"homme,femme,homme,homme,homme,homme,homme,homme",44.44%,0%,0
JPO_Fréjus_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,FRJ,6,"femme,non spécifié,homme,homme,femme,homme",1,femme,16.67%,100%,1
JPO_Fréjus_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,FRJ,8,"homme,femme,homme,femme,homme,femme,homme,homme",5,"homme,homme,homme,homme,homme",62.5%,80%,4
JPO_Fréjus_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,FRJ,12,"femme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme",2,"homme,homme",16.67%,50%,1
JPO_Fréjus_26/04/2025,JPO,26/4/2025 13:30,26/4/2025 17:00,FRJ,9,"femme,femme,homme,homme,homme,homme,homme,femme",7,"femme,homme,homme,homme,femme,femme",77.78%,42.86%,3
JPO_Fréjus_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,FRJ,12,"homme,femme,femme,homme,homme,femme,homme,homme,homme,femme,homme",4,"homme,femme,homme,femme",33.33%,25%,1
JPO_Fréjus_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,FRJ,4,"homme,homme,homme,homme",3,"homme,homme,homme",75%,0%,0
JPO_Fréjus_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,FRJ,7,"femme,homme,homme,homme,femme,femme,homme",2,"homme,femme",28.57%,0%,0
JPO_Fréjus_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,FRJ,2,"homme,homme",0,,0%,0%,0
JPO_Fréjus_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,FRJ,12,"homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme",0,,0%,0%,0
JPO_Fréjus_05/07/2025,JPO,5/7/2025 13:30,5/7/2025 17:00,FRJ,3,"femme,homme,femme",0,,0%,0%,0
JPO_Fréjus_24/05/2025,JPO,24/5/2025 13:30,24/5/2025 17:00,FRJ,0,,0,,0%,0%,0
JPO_Fréjus_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,FRJ,3,"homme,homme,homme",0,,0%,0%,0
JPO_Fréjus_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,FRJ,3,"homme,homme,homme",4,"homme,homme,femme,homme",133.33%,0%,0
JPO_Fréjus_11/01/2025,JPO,11/1/2025 13:30,11/1/2025 17:00,FRJ,6,"homme,femme,homme,femme,homme",3,"femme,homme,homme",50%,0%,0
JPO_Lille_20/09/2025,JPO,20/9/2025 09:30,20/6/2025 12:30,HDF,24,"homme,homme,femme,homme,homme,femme,homme,homme,homme,femme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,non spécifié,homme,homme",6,"femme,homme,homme,femme,femme,homme",25%,66.67%,4
JPO_Lille_24/05/2025,JPO,24/5/2025 10:00,24/5/2025 13:00,HDF,3,"homme,homme,femme",4,"homme,femme,homme,femme",133.33%,50%,2
JPO_Lille_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,HDF,1,femme,2,"homme,femme",200%,50%,1
JPO_Lille_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,HDF,8,"homme,homme,homme,homme,homme,homme,homme",2,"homme,homme",25%,50%,1
